,Unnamed: 0.2,Unnamed: 0,dial_id,turn_id,role,utterance,topic_id,segmentation_label,da,Unnamed: 0.1
0,0.0,0,tiage_dial_001,1,user,hey ! do you love cats ?,0,0,,
1,1.0,1,tiage_dial_001,2,agent,"hey . . . i am a dog person , i have two",0,0,,
2,2.0,2,tiage_dial_001,3,user,"ah that is cool , i have two cats and got a collection of 1000 hats for them !",0,0,,
3,3.0,3,tiage_dial_001,4,agent,wow ! ! ! that is a lot lol,0,1,,
4,4.0,4,tiage_dial_001,5,user,"yeah , i have a weakness for cats and vanilla ice cream , they are the best !",1,0,,
5,5.0,5,tiage_dial_001,6,agent,my weakness is eating when i am bored,1,1,,
6,6.0,6,tiage_dial_001,7,user,what is your favorite season ? mine is winter !,2,0,,
7,7.0,7,tiage_dial_001,8,agent,i am a summer girl,2,1,,
8,8.0,8,tiage_dial_001,9,user,have you ever watched the olympics ? i won a gold medal in 1992 !,3,0,,
9,9.0,9,tiage_dial_001,10,agent,cool what did you win for ?,3,0,,
10,10.0,10,tiage_dial_001,11,user,it was in the 100 meter dash ! i got 7 seconds !,3,0,,
11,11.0,11,tiage_dial_001,12,agent,wow ! ! i just run on my treadmill lol,3,0,,
12,12.0,12,tiage_dial_001,13,user,nothing like a good exercise !,3,0,,
13,13.0,13,tiage_dial_001,14,agent,yes and i love the rower machine,3,0,,
14,14.0,14,tiage_dial_001,15,user,"row row row your boat gently down the stream , when you see a crocodile . . .",3,0,,
15,15.0,15,tiage_dial_001,16,user,lol nursery r h y m e s,3,1,,
16,16.0,16,tiage_dial_002,1,user,i love bunnies ! i wish i would open a bunny daycare or hotel .,0,1,,
17,17.0,17,tiage_dial_002,2,agent,that is a cool idea . how are you today ?,1,0,,
18,18.0,18,tiage_dial_002,3,user,a little tired . worked all day today at the shipyard .,1,0,,
19,19.0,19,tiage_dial_002,4,agent,"i just got back from school , not a big fan of it though .",1,1,,
20,20.0,20,tiage_dial_002,5,user,you should join the military . i am ex military . girls love uniforms ;,2,0,,
21,21.0,21,tiage_dial_002,6,agent,i have never considered it . maybe it would help me make some more friends .,2,0,,
22,22.0,22,tiage_dial_002,7,user,"i joined the navy because i like navy blue , but infantry has sexy uniforms also .",2,0,,
23,23.0,23,tiage_dial_002,8,agent,i will definitely keep the in mind if i join .,2,1,,
24,24.0,24,tiage_dial_002,9,user,i donate part of my salary to my bunny rescue . you should too .,3,0,,
25,25.0,25,tiage_dial_002,10,agent,do you have any bunnies ?,3,0,,
26,26.0,26,tiage_dial_002,11,user,not anymore . i ate them all .,3,0,,
27,27.0,27,tiage_dial_002,12,agent,wow ! you have quite the appetite .,3,1,,
28,28.0,28,tiage_dial_002,13,user,"yeah , i like to eat . what do you do for a living ?",4,0,,
29,29.0,29,tiage_dial_002,14,user,i am a receptionist at a dentist office,4,1,,
30,30.0,30,tiage_dial_003,1,user,hi how are you tonight ?,0,0,,
31,31.0,31,tiage_dial_003,2,agent,i am worn out from work today . how are you ?,0,0,,
32,32.0,32,tiage_dial_003,3,user,me too ! i am trying to train for a 5k,0,1,,
33,33.0,33,tiage_dial_003,4,agent,i used to run . i work at a convenience store .,1,0,,
34,34.0,34,tiage_dial_003,5,user,oh well i am in high school but i know what i want to do,1,0,,
35,35.0,35,tiage_dial_003,6,agent,what do you want to do ?,1,0,,
36,36.0,36,tiage_dial_003,7,user,i want to be a physical therapist,1,0,,
