,Unnamed: 0,dial_id,turn_id,role,utterance,topic_id,segmentation_label,da,Unnamed: 0.2,Unnamed: 0.1
0,0,tiage_dial_001,1,user,hello what are doing today ?,0,0,,,
1,1,tiage_dial_001,2,agent,"i am good , i just got off work and tired , i have two jobs .",0,0,,,
2,2,tiage_dial_001,3,user,i just got done watching a horror movie,0,0,,,
3,3,tiage_dial_001,4,agent,"i rather read , i have read about 20 books this year .",0,0,,,
4,4,tiage_dial_001,5,user,wow ! i do love a good horror movie . loving this cooler weather,0,0,,,
5,5,tiage_dial_001,6,agent,but a good movie is always good .,0,0,,,
6,6,tiage_dial_001,7,user,yes ! my son is in junior high and i just started letting him watch them too,0,0,,,
7,7,tiage_dial_001,8,agent,i work in the movies as well .,0,0,,,
8,8,tiage_dial_001,9,user,neat ! ! i used to work in the human services field,0,0,,,
9,9,tiage_dial_001,10,agent,"yes it is neat , i stunt double , it is so much fun and hard work .",0,0,,,
10,10,tiage_dial_001,11,user,yes i bet you can get hurt . my wife works and i stay at home,0,0,,,
11,11,tiage_dial_001,12,agent,"nice , i only have one parent so now i help out my mom .",0,0,,,
12,12,tiage_dial_001,13,user,i bet she appreciates that very much .,0,0,,,
13,13,tiage_dial_001,14,agent,"she raised me right , i am just like her .",0,0,,,
14,14,tiage_dial_001,15,user,my dad was always busy working at home depot,0,0,,,
15,15,tiage_dial_001,16,user,now that i am older home depot is my toy r us .,0,1,,,
16,16,tiage_dial_002,1,user,hi ! how are you doing tonight ?,0,0,,,
17,17,tiage_dial_002,2,agent,i am doing great . just relaxing with my two dogs .,0,0,,,
18,18,tiage_dial_002,3,user,great . in my spare time i do volunteer work .,0,0,,,
19,19,tiage_dial_002,4,agent,that is neat . what kind of volunteer work do you do ?,0,0,,,
20,20,tiage_dial_002,5,user,i work in a homeless shelter in my town .,0,1,,,
21,21,tiage_dial_002,6,agent,good for you . do you like vintage cars ? i have two older mustangs .,1,0,,,
22,22,tiage_dial_002,7,user,cool . not really into cars . my day job is wrestling .,1,0,,,
23,23,tiage_dial_002,8,agent,cars are my thing . vintage cars . i love working on them . wrestling ? do you enjoy it ?,1,0,,,
24,24,tiage_dial_002,9,user,"yes , i love the crowds , getting to know people .",1,0,,,
25,25,tiage_dial_002,10,agent,i did not think about the crowd aspect of wrestling . i do not like crowds .,1,0,,,
26,26,tiage_dial_002,11,user,"understood . when i need to be alone , i work out a few times each week .",1,1,,,
27,27,tiage_dial_002,12,agent,i agree . working out is a great way to burn off steam . do you like country music ?,2,0,,,
28,28,tiage_dial_002,13,user,a little bit . i can get into taylor swift .,2,0,,,
29,29,tiage_dial_002,14,user,lol . she is more pop now . her old stuff was country . i like classic country .,2,1,,,
30,30,tiage_dial_003,1,user,"hello , how are you doing ?",0,0,,,
31,31,tiage_dial_003,2,agent,i love spending time with my family,0,0,,,
32,32,tiage_dial_003,3,user,"that is great , me too ! i am married and my husband and i have 2 children .",0,1,,,
33,33,tiage_dial_003,4,agent,so then have you ever been to disneyland ?,1,0,,,
34,34,tiage_dial_003,5,user,"no , we recently purchased a new house , so we cannot afford it . have you ?",1,0,,,
35,35,tiage_dial_003,6,agent,yes i love mickey mouse such a cute little rat,1,0,,,
36,36,tiage_dial_003,7,user,"i enjoy going to concerts , i see the rolling stones every year .",1,1,,,
37,37,tiage_dial_003,8,agent,man your lucky i am a baby delivery nurse and the pay sucks,2,0,,,
38,38,tiage_dial_003,9,user,maybe you should consider going back to school . i did . i major in economics .,2,0,,,
39,39,tiage_dial_003,10,agent,i have to walk 3 miles to work to save money everyday what do you do ?,2,0,,,
40,40,tiage_dial_003,11,user,"i mostly eat a fresh and raw diet , so i save on groceries .",2,0,,,
41,41,tiage_dial_003,12,agent,your economic skills are amazing,2,0,,,
42,42,tiage_dial_003,13,user,thank you very much ! i am sure you are a great nurse .,2,0,,,
43,43,tiage_dial_003,14,user,i am a ok nurse i have dripped some babies though but i am getting better,2,1,,,
44,44,tiage_dial_004,1,user,hi how are you doing ? i am okay how about you ?,0,0,,,
45,45,tiage_dial_004,2,agent,i am doing good . just sipping tea . what do you do for work ?,0,0,,,
46,46,tiage_dial_004,3,user,i used to do home health aide but now i am disabled .,0,0,,,
47,47,tiage_dial_004,4,agent,i am sorry to hear that . what happened,0,0,,,
48,48,tiage_dial_004,5,user,i graduated and got my license worked a while and became i will .,0,1,,,
49,49,tiage_dial_004,6,agent,so what do you do now for fun ? i like to read .,1,0,,,
50,50,tiage_dial_004,7,user,i have dogs and i walk them . and a cat .,1,0,,,
51,51,tiage_dial_004,8,agent,what kind of dogs do you have ?,1,0,,,
52,52,tiage_dial_004,9,user,i enjoy reading read about michael jackson and psychology today .,1,0,,,
53,53,tiage_dial_004,10,agent,i love reading . i have a big library at my house .,1,0,,,
54,54,tiage_dial_004,11,user,that is very nice i love to read to and read about journals .,1,0,,,
55,55,tiage_dial_004,12,agent,i have a tough time hearing so reading is my happy place .,1,1,,,
56,56,tiage_dial_004,13,user,cool that is okay . my mom was very tough on me .,2,0,,,
57,57,tiage_dial_004,14,user,i work as a hearing impaired museum tour guide .,2,1,,,
58,58,tiage_dial_005,1,user,hi i dye my hair 4 times a year,0,0,,,
59,59,tiage_dial_005,2,agent,do you live in the sky ? i do . in the clouds .,0,0,,,
60,60,tiage_dial_005,3,user,"no i do not , i have a dream , it is to work from home",0,0,,,
61,61,tiage_dial_005,4,agent,i make time stop . i have a superpower . i am a super hero .,0,0,,,
62,62,tiage_dial_005,5,user,that is really cool that you can do that,0,0,,,
63,63,tiage_dial_005,6,agent,i love living in the clouds the best . do you have powers ?,0,0,,,
64,64,tiage_dial_005,7,user,"no i do not , i faint when i see blood",0,0,,,
65,65,tiage_dial_005,8,agent,i do not like blood . i vomit .,0,1,,,
66,66,tiage_dial_005,9,user,"i went to school to be a vet , but i did not like it",1,0,,,
67,67,tiage_dial_005,10,agent,i want to be a teacher when i grow up,1,1,,,
68,68,tiage_dial_005,11,user,what is your name ? are you a male or female ?,2,0,,,
69,69,tiage_dial_005,12,agent,i am a girl . i do not give out my name .,2,0,,,
70,70,tiage_dial_005,13,user,i think a teacher is to tough,2,0,,,
71,71,tiage_dial_005,14,user,i like science and art .,2,1,,,
72,72,tiage_dial_006,1,user,hi ! do you like turtles ?,0,0,,,
73,73,tiage_dial_006,2,agent,i am much more of a cat person actually,0,0,,,
74,74,tiage_dial_006,3,user,"i have a turtle his name is speedy . kitties are nice too , tho !",0,0,,,
75,75,tiage_dial_006,4,agent,that is an adorable name for a turtle . i have 2 cats,0,0,,,
76,76,tiage_dial_006,5,user,what are your kitties names ?,0,0,,,
77,77,tiage_dial_006,6,agent,"snow and winter , named after my favorite season",0,1,,,
78,78,tiage_dial_006,7,user,i like that ! i go to preschool .,1,0,,,
79,79,tiage_dial_006,8,agent,oh you are so young !,1,0,,,
80,80,tiage_dial_006,9,user,how old are you ? i turned four on my birthday !,1,1,,,
81,81,tiage_dial_006,10,agent,i am an old woman . i won a gold medal in 1992,2,0,,,
82,82,tiage_dial_006,11,user,wow ! ! you won gold ! are you rich ?,2,0,,,
83,83,tiage_dial_006,12,agent,no . i spend all of my money on hats ! i own over a thousand,2,0,,,
84,84,tiage_dial_006,13,user,"i like hats too ! but , my favorite thing to do is play with my dollies .",2,0,,,
85,85,tiage_dial_006,14,user,that is great . do you have a lot ?,2,1,,,
86,86,tiage_dial_007,1,user,"hello , how are you tonight ? do you have pink and blue hair ?",0,0,,,
87,87,tiage_dial_007,2,agent,"hi , i am doing pretty good these evening",0,1,,,
88,88,tiage_dial_007,3,user,what do you like to do in your spare time ? i bird watch .,1,0,,,
89,89,tiage_dial_007,4,agent,i actually have purple hair and i love it and enjoy watching war documentaries,1,1,,,
90,90,tiage_dial_007,5,user,"those are fun . i have a cat , do you ?",2,0,,,
91,91,tiage_dial_007,6,agent,"i have a bird and she loves cheeseburgers like me , my favorite",2,0,,,
92,92,tiage_dial_007,7,user,is that healthy for birds ?,2,0,,,
93,93,tiage_dial_007,8,agent,probably not but a bite here and there i think is okay,2,1,,,
94,94,tiage_dial_007,9,user,do you like the holidays ? i do not .,3,0,,,
95,95,tiage_dial_007,10,agent,i do love the holidays i volunteer a soup kitchen during the holiday season,3,1,,,
96,96,tiage_dial_007,11,user,i get depressed . how old are you ? i am very old .,4,0,,,
97,97,tiage_dial_007,12,agent,"oh man sorry about that , i am 33 and love giving back i grew up poor",4,0,,,
98,98,tiage_dial_007,13,user,"i did too , back during the great depression .",4,0,,,
99,99,tiage_dial_007,14,agent,"oh wow , i can imagine it was a very hard time",4,0,,,
