,Unnamed: 0,dial_id,turn_id,role,utterance,topic_id,segmentation_label,da
4660,4660,dialseg711_dial_164,17,user,I want to arrive no later than 12:45 please,2,0,
14634,14634,dialseg711_dial_535,28,agent,Sure! What is your destination?,4,0,
10778,10778,dialseg711_dial_391,14,agent,"The nearest hospital to you is at Hills Rd, Cambridge. would you like their phone number?",4,0,
4842,4842,dialseg711_dial_170,24,agent,"Pardon me, did you say you are traveling on Saturday or Sunday?",2,0,
5632,5632,dialseg711_dial_199,21,user,"Yes, please, send it on my map, thank you!",3,0,
14618,14618,dialseg711_dial_535,12,agent,There are several good restaurant options in that area. Is there a specific type of food you are looking for?,2,0,
19223,19223,dialseg711_dial_706,15,user,How about the center? i would like to book a table as well for 8 people at 16:45 on a Friday.,2,0,
14457,14457,dialseg711_dial_530,25,user,I would like to leave after 13:00 for 5 people please.,3,0,
6357,6357,dialseg711_dial_226,13,user,"That's okay. Let's try European food instead, with the other details the same.",1,0,
3335,3335,dialseg711_dial_116,31,user,"Could you recommend one with free wifi and free parking in the moderate price range, and give me the star rating and phone number?",4,0,
9800,9800,dialseg711_dial_353,25,user,How about African? I'd like to book a table for 7 at 16:15 on Tuesday.,4,0,
13137,13137,dialseg711_dial_482,16,agent,GPS set for 5671 barringer street.,3,1,
10226,10226,dialseg711_dial_370,19,user,I'm leaving from riverboat georgina.,4,0,
3502,3502,dialseg711_dial_123,22,agent,"No, I'm sorry but as I said, there are no guesthouse listings. What else may I look for for you?",3,0,
10718,10718,dialseg711_dial_389,12,agent,"Sorry, that booking was unavailable. Perhaps you'd like a different day or a shorter stay?",1,0,
4509,4509,dialseg711_dial_159,6,agent,The phone number is 01223302330. Is there anything else I can help you with?,0,1,
12774,12774,dialseg711_dial_467,23,user,Please give me the address and directions via a quick route to my friend's house.,2,0,
4293,4293,dialseg711_dial_150,28,agent,"I recommend anatolia, it is a turkish food type restaurant and its postcode is cb21uj.",4,0,
1869,1869,dialseg711_dial_064,5,user,Is there valet parking at the hospital?,0,0,
8492,8492,dialseg711_dial_305,22,agent,I have a listing for a grocery store named Sigona Farmers Market.,4,0,
17346,17346,dialseg711_dial_635,24,agent,welcome. at your service next time,4,0,
852,852,dialseg711_dial_030,7,user,I need a taxi please to express by holiday inn cambridge,1,0,
17114,17114,dialseg711_dial_627,19,user,"No, I just need the address.",2,0,
