,dial_id,turn_id,role,utterance,topic_id,segmentation_label,da
0,dialseg711_dial_000,1,user,check the weather for the 7 day forecast,0,0,
1,dialseg711_dial_000,2,agent,What city are you interested in?,0,0,
2,dialseg711_dial_000,3,user,"Los Angeles, please. Will it be hot?",0,0,
3,dialseg711_dial_000,4,agent,It will be hot today in Los Angeles.,0,1,
4,dialseg711_dial_000,5,user,"Yes, can you give me the information on the Huntingdon Marriott Hotel?",1,0,
5,dialseg711_dial_000,6,agent,Absolutely. It is an expensive hotel located in the west part of town. It has 4 starts and includes free wifi and parking. Would you like help booking a room?,1,0,
6,dialseg711_dial_000,7,user,"Yes please, I need a reservation for 6 people for 5 nights starting on Saturday.",1,0,
7,dialseg711_dial_000,8,agent,"Sorry, there are not enough rooms available for that time period. Perhaps a different day or a shorter stay might yield better results.",1,0,
8,dialseg711_dial_000,9,user,"How about for 1 night? If that works, I'll need a reference number of course.",1,0,
9,dialseg711_dial_000,10,agent,Booking was successful. Your reference number is : OO8QDA62.,1,1,
10,dialseg711_dial_000,11,user,I need a train from London Kings Cross to Cambridge.,2,0,
11,dialseg711_dial_000,12,agent,"I have 70 trains travelling that route. To narrow it down, what day would you like to leave and what time would you like to depart/arrive?",2,0,
12,dialseg711_dial_000,13,user,"sure, I would like to go on Saturday, and arrive by 20:20. As close to that time as I can arrive.",2,0,
13,dialseg711_dial_000,14,agent,I have a 19:17 from London that arrives at 20:08. Would that work for you?,2,0,
14,dialseg711_dial_000,15,user,"Yes, let me have 7 tickets, please.",2,0,
15,dialseg711_dial_000,16,agent,"Booking was successful, the total fee is 132.16 GBP payable at the station. Reference number is : QMD5P3EG. Is there anything else I can help you with?",2,1,
16,dialseg711_dial_000,17,user,I need to find a shopping center.,3,0,
17,dialseg711_dial_000,18,agent,The Stanford Shopping Center at 773 Alger Dr is 3 miles away in no traffic. Would you like directions there?,3,0,
18,dialseg711_dial_000,19,user,Yes please.,3,0,
19,dialseg711_dial_000,20,agent,"I sent all the info on the screen, please drive carefully!",3,1,
20,dialseg711_dial_000,21,user,Schedule meeting.,4,0,
21,dialseg711_dial_000,22,agent,What details shall I add to your meeting reminder?,4,0,
22,dialseg711_dial_000,23,user,Please set it for the 13th at 11am. It is going to be with management and to discuss our company picnic. Thank you.,4,0,
23,dialseg711_dial_000,24,agent,Reminder set for your meeting at 11am on the 13th with management to discuss your company picnic. Is there anything else?,4,0,
24,dialseg711_dial_001,1,user,Can you help me find a restaurant that serves greek food and is expensive?,0,0,
25,dialseg711_dial_001,2,agent,"I apologize but there are no expensive greek restaurants listed, would you like to try a different food type or price range?",0,0,
26,dialseg711_dial_001,3,user,Do you have any Indian restaurants?,0,0,
