,Unnamed: 0,dial_id,turn_id,role,utterance,topic_id,segmentation_label,da
17243,17243,dialseg711_dial_632,13,user,Either as long as it includes free parking and internet is optional.,2,0,
17324,17324,dialseg711_dial_635,2,agent,"Yes, actually. Cityroomz is a moderately priced 0 star hotel.",0,0,
3142,3142,dialseg711_dial_110,17,user,get me the weather report for this week,2,0,
9757,9757,dialseg711_dial_352,14,agent,Pizza Chicago's address is 915 Arbol Dr.,1,1,
2069,2069,dialseg711_dial_070,16,agent,What city do you need a weekly weather report for?,4,0,
11484,11484,dialseg711_dial_417,7,user,Can you help me find a hotel?,1,0,
1859,1859,dialseg711_dial_063,17,user,Where can I get pizza?,4,0,
10918,10918,dialseg711_dial_396,24,agent,"The phone number for Jesus Green is 01223302579, and the number for Kings Hedges is 01223353248. Is there anything else I can do to help?",3,0,
15479,15479,dialseg711_dial_567,9,user,I was robbed and I am looking for help,2,0,
17220,17220,dialseg711_dial_631,26,agent,"I have seven trains available then, could you tell me what time you would like to leave ?",3,0,
11493,11493,dialseg711_dial_417,16,agent,"Yes, A & B guesthouse does have 4 stars. Are you ready to book a room?",1,0,
16380,16380,dialseg711_dial_602,4,agent,Sure! Do you have a price range?,1,0,
8753,8753,dialseg711_dial_315,5,user,"No, thank you. Can I have the postcode?",0,0,
14316,14316,dialseg711_dial_525,14,agent,Town and Country is at 383 University Ave.,3,0,
19215,19215,dialseg711_dial_706,7,user,I am looking for a particular hotel. Its name is called kirkwood house,1,0,
3329,3329,dialseg711_dial_116,25,user,"Hello, I need to find a hotel with free wifi and free parking. Can you help me?",4,0,
5281,5281,dialseg711_dial_188,16,agent,Frost is predicted in New York on Saturday.,1,1,
9655,9655,dialseg711_dial_348,8,agent,Webster Garage is located at 880 Ames Ct. It is 2 miles away.,1,0,
11444,11444,dialseg711_dial_415,15,user,I need to book a taxi to leave after 07:45 to take me to Bangkok City.,4,0,
11782,11782,dialseg711_dial_428,5,user,will it rain anytime in the next week,1,0,
3356,3356,dialseg711_dial_118,2,agent,I do not have a listing for any fast food places but i do have a pizza restaurant that is 3 miles away. Would you like more info on it?,0,0,
3213,3213,dialseg711_dial_112,18,agent,The type of hotel is a regular hotel that is rated 3 stars and has both free parking and internet connectivity amenities. Could I help you with booking?,2,0,
16790,16790,dialseg711_dial_615,13,user,"Clowns cafe, please.",2,0,
5570,5570,dialseg711_dial_197,9,user,I'd like to book a taxi to the scott polar museum,1,0,
5009,5009,dialseg711_dial_177,16,agent,"Hello, the name is Parkside Police Station, located at Parkside, Cambridge, post code CB11JG. The phone number is 01223358966. Do you need help with anything else?",3,1,
541,541,dialseg711_dial_018,20,agent,Have a nice day!,3,1,
5690,5690,dialseg711_dial_201,24,agent,"In that case, I recommend Backstreet Bistro at 2 Sturton Street City Centre. Would you like a table there?",4,0,
15306,15306,dialseg711_dial_561,9,user,Where can I get groceries?,1,0,
3901,3901,dialseg711_dial_138,23,user,Will it be humid in Inglewood during the next few days?,4,0,
14574,14574,dialseg711_dial_533,36,agent,Booking was unsuccessful. can we book another day or time slot?,4,0,
15196,15196,dialseg711_dial_556,30,agent,"You are welcome, can I help you with any thing else?",4,0,
175,175,dialseg711_dial_005,34,agent,Of course. The contact number is 07613765039.,4,0,
17578,17578,dialseg711_dial_644,21,user,I wish to leave after 8:15.,4,0,
18073,18073,dialseg711_dial_663,16,agent,Booking was successful. Reference number is : SNGZ3N0D.,2,1,
4341,4341,dialseg711_dial_152,22,agent,I will make a note of the meeting for December 10th at 2pm with the infrastructure team to discuss the merger.,2,1,
11044,11044,dialseg711_dial_400,26,agent,What city would you like this information from?,3,0,
2073,2073,dialseg711_dial_071,2,agent,There are eleven museums in the city centre. Might I recommend the museum of archaelogy and anthropology?,0,0,
5243,5243,dialseg711_dial_186,18,agent,When would you like to arrive in Cambridge on Monday?,4,0,
19097,19097,dialseg711_dial_701,17,user,Could I have their phone number and address?,3,0,
16771,16771,dialseg711_dial_614,20,agent,How many people will be in your party and how long would you like to stay?,4,0,
9129,9129,dialseg711_dial_329,8,agent,I was able to book that for you for Thursday. Your reference number is 07CI497H.,1,0,
19121,19121,dialseg711_dial_702,11,user,"I would like to depart from Cambridge, and travel to Bishops Stortford.",2,0,
2159,2159,dialseg711_dial_074,2,agent,Where would your destination be?,0,0,
18257,18257,dialseg711_dial_670,18,agent,"Sure I can help with that. May I have the time you want to leave riverside brasserie, or the time you need to arrive at the destination?",2,0,
5316,5316,dialseg711_dial_189,19,user,"Can I get it for 1 night, then?",1,0,
10372,10372,dialseg711_dial_376,9,user,I am looking for a train departing from london kings cross,2,0,
9816,9816,dialseg711_dial_354,15,user,"Yes, can you tell me their address please?",3,0,
12596,12596,dialseg711_dial_460,22,agent,"Sorry, still zero matches. Perhaps some other criteria?",2,0,
1007,1007,dialseg711_dial_034,40,agent,"There we go, all set. The reference number is AM5KZM91.",4,0,
12616,12616,dialseg711_dial_460,42,agent,"Yes, that'll be O6F5S5XY.",4,0,
2085,2085,dialseg711_dial_071,14,agent,Where would you like to go to and from?,3,0,
4855,4855,dialseg711_dial_171,3,user,The train should go to cambridge and should depart from london liverpool street.,0,0,
13857,13857,dialseg711_dial_509,4,agent,Booking was unsuccessful. Let's try another day or time.,0,0,
12864,12864,dialseg711_dial_472,1,user,I would like to book a taxi to the stevenage train station leaving gourmet burger kitchen.,0,0,
1938,1938,dialseg711_dial_066,27,user,Something cheap would be good.,4,0,
16578,16578,dialseg711_dial_607,26,agent,Their address is cherry hinton road. Is there anything else I can assist you with?,2,0,
11638,11638,dialseg711_dial_422,1,user,navigate to the closest restaurant,0,0,
5979,5979,dialseg711_dial_212,11,user,I'm going to need a train on Wednesday. I need to arrive by 16:00.,2,0,
18926,18926,dialseg711_dial_694,15,user,"I need the address, postcode and phone number for Addenbrookes Hospital.",2,0,
6801,6801,dialseg711_dial_243,6,agent,And when would you like to leave or arrive?,1,0,
18768,18768,dialseg711_dial_689,11,user,"No, anytime after 8:15 is fine. Maybe the first train after that time.",1,0,
8310,8310,dialseg711_dial_299,12,agent,Is there anything else I can help you with today?,0,1,
8596,8596,dialseg711_dial_308,32,agent,You are booked for Sunday at 16:45. Your reference number is 2W56MF47. May I help you with something else?,4,0,
9307,9307,dialseg711_dial_336,5,user,Just one person on Sunday at 19:45,0,0,
775,775,dialseg711_dial_026,29,user,I'd like pizza! Which pizzeria is the closest one?,3,0,
13426,13426,dialseg711_dial_493,22,agent,"There is moderate traffic but we're just 2 miles away, I sent the best route on your screen",3,1,
8341,8341,dialseg711_dial_300,17,user,Is Teavana the closest coffee place to my current location?,3,0,
143,143,dialseg711_dial_005,2,agent,"Okay, we have 57 restaurants in that price range. Are you looking for a place in a certain part of town?",0,0,
18669,18669,dialseg711_dial_685,26,agent,What city would you like the forecast for?,3,0,
18715,18715,dialseg711_dial_687,6,agent,Okay scheduling a tennis reminder for you on the 15th of this month with Jon at 1 pm.,0,1,
16748,16748,dialseg711_dial_613,25,user,"Sure, can I get the postcode, phone number, and address for La Mimosa, please?",4,0,
10710,10710,dialseg711_dial_389,4,agent,Rain is predicted in San francisco today.,0,1,
9969,9969,dialseg711_dial_361,2,agent,I am sorry to hear that. You can contact the nearest police station at Parkside via the following phone number: 01223358966,0,0,
3891,3891,dialseg711_dial_138,13,user,is there a chance of snow in this weeks weather forecast,2,0,
8701,8701,dialseg711_dial_313,1,user,what's the temperature going to be this week,0,0,
706,706,dialseg711_dial_024,18,agent,I have two that would be on the expensive side. The Good Luck Chinese Food Takeaway and the Peking Restaurant. Can I reserve a table for you at either of these?,2,0,
3497,3497,dialseg711_dial_123,17,user,Are there any 1-star hotels with free parking?,3,0,
2565,2565,dialseg711_dial_089,11,user,How much would the train ride cost me?,1,0,
10398,10398,dialseg711_dial_377,10,agent,I'm sorry there are no moderately priced hotels in the centre of town with free parking. Would you like me to check a different area or price range?,1,0,
7212,7212,dialseg711_dial_259,14,agent,We have quite a few spots. Do you have a specific type of food you'd like to eat?,1,0,
1228,1228,dialseg711_dial_042,5,user,Help me reserve a taxi please,1,0,
13899,13899,dialseg711_dial_511,6,agent,Jing Jing is at 113 Arbol Dr.,1,0,
15416,15416,dialseg711_dial_565,6,agent,Their phone number is 01223336265. Can I assist you with anything else?,0,1,
5153,5153,dialseg711_dial_183,2,agent,Little Seoul is exactly what you're looking for!,0,0,
