,dial_id,turn_id,role,utterance,topic_id,segmentation_label,da
0,tiage_dial_001,1,user,hey ! do you love cats ?,0,0,
1,tiage_dial_001,2,agent,"hey . . . i am a dog person , i have two",0,0,
2,tiage_dial_001,3,user,"ah that is cool , i have two cats and got a collection of 1000 hats for them !",0,0,
3,tiage_dial_001,4,agent,wow ! ! ! that is a lot lol,0,1,
4,tiage_dial_001,5,user,"yeah , i have a weakness for cats and vanilla ice cream , they are the best !",1,0,
5,tiage_dial_001,6,agent,my weakness is eating when i am bored,1,1,
6,tiage_dial_001,7,user,what is your favorite season ? mine is winter !,2,0,
7,tiage_dial_001,8,agent,i am a summer girl,2,1,
8,tiage_dial_001,9,user,have you ever watched the olympics ? i won a gold medal in 1992 !,3,0,
9,tiage_dial_001,10,agent,cool what did you win for ?,3,0,
10,tiage_dial_001,11,user,it was in the 100 meter dash ! i got 7 seconds !,3,0,
11,tiage_dial_001,12,agent,wow ! ! i just run on my treadmill lol,3,0,
12,tiage_dial_001,13,user,nothing like a good exercise !,3,0,
13,tiage_dial_001,14,agent,yes and i love the rower machine,3,0,
14,tiage_dial_001,15,user,"row row row your boat gently down the stream , when you see a crocodile . . .",3,0,
15,tiage_dial_001,16,user,lol nursery r h y m e s,3,1,
16,tiage_dial_002,1,user,i love bunnies ! i wish i would open a bunny daycare or hotel .,0,1,
17,tiage_dial_002,2,agent,that is a cool idea . how are you today ?,1,0,
18,tiage_dial_002,3,user,a little tired . worked all day today at the shipyard .,1,0,
19,tiage_dial_002,4,agent,"i just got back from school , not a big fan of it though .",1,1,
20,tiage_dial_002,5,user,you should join the military . i am ex military . girls love uniforms ;,2,0,
21,tiage_dial_002,6,agent,i have never considered it . maybe it would help me make some more friends .,2,0,
22,tiage_dial_002,7,user,"i joined the navy because i like navy blue , but infantry has sexy uniforms also .",2,0,
23,tiage_dial_002,8,agent,i will definitely keep the in mind if i join .,2,1,
24,tiage_dial_002,9,user,i donate part of my salary to my bunny rescue . you should too .,3,0,
25,tiage_dial_002,10,agent,do you have any bunnies ?,3,0,
26,tiage_dial_002,11,user,not anymore . i ate them all .,3,0,
27,tiage_dial_002,12,agent,wow ! you have quite the appetite .,3,1,
28,tiage_dial_002,13,user,"yeah , i like to eat . what do you do for a living ?",4,0,
29,tiage_dial_002,14,user,i am a receptionist at a dentist office,4,1,
30,tiage_dial_003,1,user,hi how are you tonight ?,0,0,
31,tiage_dial_003,2,agent,i am worn out from work today . how are you ?,0,0,
32,tiage_dial_003,3,user,me too ! i am trying to train for a 5k,0,1,
33,tiage_dial_003,4,agent,i used to run . i work at a convenience store .,1,0,
34,tiage_dial_003,5,user,oh well i am in high school but i know what i want to do,1,0,
35,tiage_dial_003,6,agent,what do you want to do ?,1,0,
36,tiage_dial_003,7,user,i want to be a physical therapist,1,0,
37,tiage_dial_003,8,agent,that sounds like a good job . i am the manager at the store that i work at .,1,0,
38,tiage_dial_003,9,user,that is cool . i try to make all straight as so i can achieve my goa,1,1,
39,tiage_dial_003,10,agent,great ! do you like taylor swift ? i met her once .,2,0,
40,tiage_dial_003,11,user,yeah she is cool . she seems nice and her songs are catchy,2,1,
41,tiage_dial_003,12,agent,i have her latest album in my car . i have a nissan .,3,0,
42,tiage_dial_003,13,user,nice ! hopefully i will get a car when i graduate,3,0,
43,tiage_dial_003,14,user,what kind of car do you want ?,3,1,
44,tiage_dial_004,1,user,"hi , my name is kate and i am from ohio .",0,0,
45,tiage_dial_004,2,agent,hello miss ! i m ben and i m grounded for not picking up my toys,0,1,
46,tiage_dial_004,3,user,i am sorry to hear that . do you like pizza ?,1,0,
47,tiage_dial_004,4,agent,when mommy orders it . what do you like on your pizza ?,1,0,
48,tiage_dial_004,5,user,it is my favorite food . i really like it with black olives on it . you ?,1,1,
49,tiage_dial_004,6,agent,i like the red stuff underneath the cheese ! how old are you ?,2,0,
50,tiage_dial_004,7,user,i am thirty years old and i work at a supermarket in my town .,2,0,
51,tiage_dial_004,8,agent,is that where my parents pick up the food ?,2,0,
52,tiage_dial_004,9,user,i am not sure if it is the same one .,2,1,
