,dial_id,turn_id,role,utterance,topic_id,segmentation_label,da
0,tiage_dial_001,1,user,hello what are doing today ?,0,0,
1,tiage_dial_001,2,agent,"i am good , i just got off work and tired , i have two jobs .",0,0,
2,tiage_dial_001,3,user,i just got done watching a horror movie,0,0,
3,tiage_dial_001,4,agent,"i rather read , i have read about 20 books this year .",0,0,
4,tiage_dial_001,5,user,wow ! i do love a good horror movie . loving this cooler weather,0,0,
5,tiage_dial_001,6,agent,but a good movie is always good .,0,0,
6,tiage_dial_001,7,user,yes ! my son is in junior high and i just started letting him watch them too,0,0,
7,tiage_dial_001,8,agent,i work in the movies as well .,0,0,
8,tiage_dial_001,9,user,neat ! ! i used to work in the human services field,0,0,
9,tiage_dial_001,10,agent,"yes it is neat , i stunt double , it is so much fun and hard work .",0,0,
10,tiage_dial_001,11,user,yes i bet you can get hurt . my wife works and i stay at home,0,0,
11,tiage_dial_001,12,agent,"nice , i only have one parent so now i help out my mom .",0,0,
12,tiage_dial_001,13,user,i bet she appreciates that very much .,0,0,
13,tiage_dial_001,14,agent,"she raised me right , i am just like her .",0,0,
14,tiage_dial_001,15,user,my dad was always busy working at home depot,0,0,
15,tiage_dial_001,16,user,now that i am older home depot is my toy r us .,0,1,
16,tiage_dial_002,1,user,hi ! how are you doing tonight ?,0,0,
17,tiage_dial_002,2,agent,i am doing great . just relaxing with my two dogs .,0,0,
18,tiage_dial_002,3,user,great . in my spare time i do volunteer work .,0,0,
19,tiage_dial_002,4,agent,that is neat . what kind of volunteer work do you do ?,0,0,
20,tiage_dial_002,5,user,i work in a homeless shelter in my town .,0,1,
21,tiage_dial_002,6,agent,good for you . do you like vintage cars ? i have two older mustangs .,1,0,
22,tiage_dial_002,7,user,cool . not really into cars . my day job is wrestling .,1,0,
23,tiage_dial_002,8,agent,cars are my thing . vintage cars . i love working on them . wrestling ? do you enjoy it ?,1,0,
24,tiage_dial_002,9,user,"yes , i love the crowds , getting to know people .",1,0,
25,tiage_dial_002,10,agent,i did not think about the crowd aspect of wrestling . i do not like crowds .,1,0,
26,tiage_dial_002,11,user,"understood . when i need to be alone , i work out a few times each week .",1,1,
27,tiage_dial_002,12,agent,i agree . working out is a great way to burn off steam . do you like country music ?,2,0,
28,tiage_dial_002,13,user,a little bit . i can get into taylor swift .,2,0,
29,tiage_dial_002,14,user,lol . she is more pop now . her old stuff was country . i like classic country .,2,1,
30,tiage_dial_003,1,user,"hello , how are you doing ?",0,0,
31,tiage_dial_003,2,agent,i love spending time with my family,0,0,
32,tiage_dial_003,3,user,"that is great , me too ! i am married and my husband and i have 2 children .",0,1,
33,tiage_dial_003,4,agent,so then have you ever been to disneyland ?,1,0,
34,tiage_dial_003,5,user,"no , we recently purchased a new house , so we cannot afford it . have you ?",1,0,
35,tiage_dial_003,6,agent,yes i love mickey mouse such a cute little rat,1,0,
36,tiage_dial_003,7,user,"i enjoy going to concerts , i see the rolling stones every year .",1,1,
37,tiage_dial_003,8,agent,man your lucky i am a baby delivery nurse and the pay sucks,2,0,
38,tiage_dial_003,9,user,maybe you should consider going back to school . i did . i major in economics .,2,0,
39,tiage_dial_003,10,agent,i have to walk 3 miles to work to save money everyday what do you do ?,2,0,
40,tiage_dial_003,11,user,"i mostly eat a fresh and raw diet , so i save on groceries .",2,0,
41,tiage_dial_003,12,agent,your economic skills are amazing,2,0,
42,tiage_dial_003,13,user,thank you very much ! i am sure you are a great nurse .,2,0,
43,tiage_dial_003,14,user,i am a ok nurse i have dripped some babies though but i am getting better,2,1,
44,tiage_dial_004,1,user,hi how are you doing ? i am okay how about you ?,0,0,
45,tiage_dial_004,2,agent,i am doing good . just sipping tea . what do you do for work ?,0,0,
46,tiage_dial_004,3,user,i used to do home health aide but now i am disabled .,0,0,
47,tiage_dial_004,4,agent,i am sorry to hear that . what happened,0,0,
48,tiage_dial_004,5,user,i graduated and got my license worked a while and became i will .,0,1,
49,tiage_dial_004,6,agent,so what do you do now for fun ? i like to read .,1,0,
50,tiage_dial_004,7,user,i have dogs and i walk them . and a cat .,1,0,
51,tiage_dial_004,8,agent,what kind of dogs do you have ?,1,0,
52,tiage_dial_004,9,user,i enjoy reading read about michael jackson and psychology today .,1,0,
53,tiage_dial_004,10,agent,i love reading . i have a big library at my house .,1,0,
54,tiage_dial_004,11,user,that is very nice i love to read to and read about journals .,1,0,
55,tiage_dial_004,12,agent,i have a tough time hearing so reading is my happy place .,1,1,
56,tiage_dial_004,13,user,cool that is okay . my mom was very tough on me .,2,0,
57,tiage_dial_004,14,user,i work as a hearing impaired museum tour guide .,2,1,
58,tiage_dial_005,1,user,hi i dye my hair 4 times a year,0,0,
59,tiage_dial_005,2,agent,do you live in the sky ? i do . in the clouds .,0,0,
60,tiage_dial_005,3,user,"no i do not , i have a dream , it is to work from home",0,0,
61,tiage_dial_005,4,agent,i make time stop . i have a superpower . i am a super hero .,0,0,
62,tiage_dial_005,5,user,that is really cool that you can do that,0,0,
63,tiage_dial_005,6,agent,i love living in the clouds the best . do you have powers ?,0,0,
64,tiage_dial_005,7,user,"no i do not , i faint when i see blood",0,0,
65,tiage_dial_005,8,agent,i do not like blood . i vomit .,0,1,
66,tiage_dial_005,9,user,"i went to school to be a vet , but i did not like it",1,0,
67,tiage_dial_005,10,agent,i want to be a teacher when i grow up,1,1,
68,tiage_dial_005,11,user,what is your name ? are you a male or female ?,2,0,
69,tiage_dial_005,12,agent,i am a girl . i do not give out my name .,2,0,
70,tiage_dial_005,13,user,i think a teacher is to tough,2,0,
71,tiage_dial_005,14,user,i like science and art .,2,1,
72,tiage_dial_006,1,user,hi ! do you like turtles ?,0,0,
73,tiage_dial_006,2,agent,i am much more of a cat person actually,0,0,
74,tiage_dial_006,3,user,"i have a turtle his name is speedy . kitties are nice too , tho !",0,0,
75,tiage_dial_006,4,agent,that is an adorable name for a turtle . i have 2 cats,0,0,
76,tiage_dial_006,5,user,what are your kitties names ?,0,0,
77,tiage_dial_006,6,agent,"snow and winter , named after my favorite season",0,1,
78,tiage_dial_006,7,user,i like that ! i go to preschool .,1,0,
79,tiage_dial_006,8,agent,oh you are so young !,1,0,
80,tiage_dial_006,9,user,how old are you ? i turned four on my birthday !,1,1,
81,tiage_dial_006,10,agent,i am an old woman . i won a gold medal in 1992,2,0,
82,tiage_dial_006,11,user,wow ! ! you won gold ! are you rich ?,2,0,
83,tiage_dial_006,12,agent,no . i spend all of my money on hats ! i own over a thousand,2,0,
84,tiage_dial_006,13,user,"i like hats too ! but , my favorite thing to do is play with my dollies .",2,0,
85,tiage_dial_006,14,user,that is great . do you have a lot ?,2,1,
86,tiage_dial_007,1,user,"hello , how are you tonight ? do you have pink and blue hair ?",0,0,
87,tiage_dial_007,2,agent,"hi , i am doing pretty good these evening",0,1,
88,tiage_dial_007,3,user,what do you like to do in your spare time ? i bird watch .,1,0,
89,tiage_dial_007,4,agent,i actually have purple hair and i love it and enjoy watching war documentaries,1,1,
90,tiage_dial_007,5,user,"those are fun . i have a cat , do you ?",2,0,
91,tiage_dial_007,6,agent,"i have a bird and she loves cheeseburgers like me , my favorite",2,0,
92,tiage_dial_007,7,user,is that healthy for birds ?,2,0,
93,tiage_dial_007,8,agent,probably not but a bite here and there i think is okay,2,1,
94,tiage_dial_007,9,user,do you like the holidays ? i do not .,3,0,
95,tiage_dial_007,10,agent,i do love the holidays i volunteer a soup kitchen during the holiday season,3,1,
96,tiage_dial_007,11,user,i get depressed . how old are you ? i am very old .,4,0,
97,tiage_dial_007,12,agent,"oh man sorry about that , i am 33 and love giving back i grew up poor",4,0,
98,tiage_dial_007,13,user,"i did too , back during the great depression .",4,0,
99,tiage_dial_007,14,agent,"oh wow , i can imagine it was a very hard time",4,0,
100,tiage_dial_007,15,user,"it was , but it made us strong .",4,0,
101,tiage_dial_007,16,user,"yes it really did , that is why i enjoy y volunteer work",4,1,
102,tiage_dial_008,1,user,"hi , how are you doing today ?",0,0,
103,tiage_dial_008,2,agent,good ! you ! celebrating with fellow centenarians,0,0,
104,tiage_dial_008,3,user,nice . i am playing some card games with my family .,0,0,
105,tiage_dial_008,4,agent,that sounds like fun . i like wine and dancing too !,0,0,
106,tiage_dial_008,5,user,same . i try to get a small workout in a three mile walk for me is key .,0,0,
107,tiage_dial_008,6,agent,awesome ! walking like that you might live forever like me ! !,0,1,
108,tiage_dial_008,7,user,that is true . my favorite way to unwind is reading a book .,1,0,
109,tiage_dial_008,8,agent,"you sound very like minded , just add some wine",1,0,
110,tiage_dial_008,9,user,which do you prefer white or red ?,1,0,
111,tiage_dial_008,10,agent,fermented . i prefer well aged and fermented . i could bathe in it !,1,0,
112,tiage_dial_008,11,user,good choice . i always like a nice dry white wine .,1,0,
113,tiage_dial_008,12,agent,i think i should go grab a bottle now and get some dancing music on,1,0,
114,tiage_dial_008,13,user,sounds like a good way to enjoy a sunday afternoon .,1,0,
115,tiage_dial_008,14,user,yes indeed . being a centenarian you learn to appreciate these things,1,1,
116,tiage_dial_009,1,user,"hello , are you attending church in the morning ?",0,0,
117,tiage_dial_009,2,agent,only if i can get a ride . i am very old and cannot drive,0,0,
118,tiage_dial_009,3,user,"if i lived close , i would take you . i teach sunday school .",0,0,
119,tiage_dial_009,4,agent,how nice . you must love kids .,0,0,
120,tiage_dial_009,5,user,"i do . i do not have any , my dogs are my children .",0,1,
121,tiage_dial_009,6,agent,would you like to know the secret to living as long as i have ?,1,0,
122,tiage_dial_009,7,user,"yes , please . that would be wonderful .",1,0,
123,tiage_dial_009,8,agent,"drinking wine , and dancing in the moonlight .",1,0,
124,tiage_dial_009,9,user,very nice . i do both as well .,1,0,
125,tiage_dial_009,10,agent,doing both of those things has helped me make it to my 100th birthday .,1,0,
126,tiage_dial_009,11,user,oh wow . i hope i live as long as you !,1,0,
127,tiage_dial_009,12,agent,"i may be old , but i am stronger than i look !",1,1,
128,tiage_dial_009,13,user,very nice to hear . women are often thought of as weak .,2,0,
129,tiage_dial_009,14,agent,women were not even allowed to vote when i was a child .,2,0,
130,tiage_dial_009,15,user,"that is truly awful . thankfully , things have since changed .",2,0,
131,tiage_dial_009,16,user,lots of things have changed . i remember when televisions were not a common household item .,2,1,
132,tiage_dial_010,1,user,"hey , i enjoy mowing lawns in the summer",0,0,
