dial_id,turn_start,turn_end,topic_ids,word_count,window_text,drift_label
tiage_dial_001,1,10,[0],121,"hello what are doing today ? i am good , i just got off work and tired , i have two jobs . i just got done watching a horror movie i rather read , i have read about 20 books this year . wow ! i do love a good horror movie . loving this cooler weather but a good movie is always good . yes ! my son is in junior high and i just started letting him watch them too i work in the movies as well . neat ! ! i used to work in the human services field yes it is neat , i stunt double , it is so much fun and hard work .",0
tiage_dial_001,11,16,[0],72,"yes i bet you can get hurt . my wife works and i stay at home nice , i only have one parent so now i help out my mom . i bet she appreciates that very much . she raised me right , i am just like her . my dad was always busy working at home depot now that i am older home depot is my toy r us .",1
tiage_dial_002,1,9,"[0, 1]",116,"hi ! how are you doing tonight ? i am doing great . just relaxing with my two dogs . great . in my spare time i do volunteer work . that is neat . what kind of volunteer work do you do ? i work in a homeless shelter in my town . good for you . do you like vintage cars ? i have two older mustangs . cool . not really into cars . my day job is wrestling . cars are my thing . vintage cars . i love working on them . wrestling ? do you enjoy it ? yes , i love the crowds , getting to know people .",1
tiage_dial_002,10,14,"[1, 2]",85,"i did not think about the crowd aspect of wrestling . i do not like crowds . understood . when i need to be alone , i work out a few times each week . i agree . working out is a great way to burn off steam . do you like country music ? a little bit . i can get into taylor swift . lol . she is more pop now . her old stuff was country . i like classic country .",1
tiage_dial_003,1,9,"[0, 1, 2]",114,"hello , how are you doing ? i love spending time with my family that is great , me too ! i am married and my husband and i have 2 children . so then have you ever been to disneyland ? no , we recently purchased a new house , so we cannot afford it . have you ? yes i love mickey mouse such a cute little rat i enjoy going to concerts , i see the rolling stones every year . man your lucky i am a baby delivery nurse and the pay sucks maybe you should consider going back to school . i did . i major in economics .",1
tiage_dial_003,10,14,[2],67,"i have to walk 3 miles to work to save money everyday what do you do ? i mostly eat a fresh and raw diet , so i save on groceries . your economic skills are amazing thank you very much ! i am sure you are a great nurse . i am a ok nurse i have dripped some babies though but i am getting better",1
tiage_dial_004,1,10,"[0, 1]",123,hi how are you doing ? i am okay how about you ? i am doing good . just sipping tea . what do you do for work ? i used to do home health aide but now i am disabled . i am sorry to hear that . what happened i graduated and got my license worked a while and became i will . so what do you do now for fun ? i like to read . i have dogs and i walk them . and a cat . what kind of dogs do you have ? i enjoy reading read about michael jackson and psychology today . i love reading . i have a big library at my house .,1
tiage_dial_004,11,14,"[1, 2]",50,that is very nice i love to read to and read about journals . i have a tough time hearing so reading is my happy place . cool that is okay . my mom was very tough on me . i work as a hearing impaired museum tour guide .,1
tiage_dial_005,1,10,"[0, 1]",123,"hi i dye my hair 4 times a year do you live in the sky ? i do . in the clouds . no i do not , i have a dream , it is to work from home i make time stop . i have a superpower . i am a super hero . that is really cool that you can do that i love living in the clouds the best . do you have powers ? no i do not , i faint when i see blood i do not like blood . i vomit . i went to school to be a vet , but i did not like it i want to be a teacher when i grow up",1
tiage_dial_005,11,14,[2],38,what is your name ? are you a male or female ? i am a girl . i do not give out my name . i think a teacher is to tough i like science and art .,1
tiage_dial_006,1,11,"[0, 1, 2]",111,"hi ! do you like turtles ? i am much more of a cat person actually i have a turtle his name is speedy . kitties are nice too , tho ! that is an adorable name for a turtle . i have 2 cats what are your kitties names ? snow and winter , named after my favorite season i like that ! i go to preschool . oh you are so young ! how old are you ? i turned four on my birthday ! i am an old woman . i won a gold medal in 1992 wow ! ! you won gold ! are you rich ?",1
tiage_dial_006,12,14,[2],44,"no . i spend all of my money on hats ! i own over a thousand i like hats too ! but , my favorite thing to do is play with my dollies . that is great . do you have a lot ?",1
tiage_dial_007,1,10,"[0, 1, 2, 3]",120,"hello , how are you tonight ? do you have pink and blue hair ? hi , i am doing pretty good these evening what do you like to do in your spare time ? i bird watch . i actually have purple hair and i love it and enjoy watching war documentaries those are fun . i have a cat , do you ? i have a bird and she loves cheeseburgers like me , my favorite is that healthy for birds ? probably not but a bite here and there i think is okay do you like the holidays ? i do not . i do love the holidays i volunteer a soup kitchen during the holiday season",1
tiage_dial_007,11,16,[4],75,"i get depressed . how old are you ? i am very old . oh man sorry about that , i am 33 and love giving back i grew up poor i did too , back during the great depression . oh wow , i can imagine it was a very hard time it was , but it made us strong . yes it really did , that is why i enjoy y volunteer work",1
tiage_dial_008,1,10,"[0, 1]",119,"hi , how are you doing today ? good ! you ! celebrating with fellow centenarians nice . i am playing some card games with my family . that sounds like fun . i like wine and dancing too ! same . i try to get a small workout in a three mile walk for me is key . awesome ! walking like that you might live forever like me ! ! that is true . my favorite way to unwind is reading a book . you sound very like minded , just add some wine which do you prefer white or red ? fermented . i prefer well aged and fermented . i could bathe in it !",1
tiage_dial_008,11,14,[1],50,good choice . i always like a nice dry white wine . i think i should go grab a bottle now and get some dancing music on sounds like a good way to enjoy a sunday afternoon . yes indeed . being a centenarian you learn to appreciate these things,1
tiage_dial_009,1,10,"[0, 1]",120,"hello , are you attending church in the morning ? only if i can get a ride . i am very old and cannot drive if i lived close , i would take you . i teach sunday school . how nice . you must love kids . i do . i do not have any , my dogs are my children . would you like to know the secret to living as long as i have ? yes , please . that would be wonderful . drinking wine , and dancing in the moonlight . very nice . i do both as well . doing both of those things has helped me make it to my 100th birthday .",1
tiage_dial_009,11,16,"[1, 2]",80,"oh wow . i hope i live as long as you ! i may be old , but i am stronger than i look ! very nice to hear . women are often thought of as weak . women were not even allowed to vote when i was a child . that is truly awful . thankfully , things have since changed . lots of things have changed . i remember when televisions were not a common household item .",1
tiage_dial_010,1,9,"[0, 1, 2]",115,"hey , i enjoy mowing lawns in the summer hello . how are you ? my pet turtle and i are sitting here . my turtle and myself love to grill outside mommy says to pick up toys . i do not like to . i want to play dolls ! yeah , i have been retired for a long time ! years ! i want to go next door and play with my best friend , not work ! yeah i wanna gamble , i go gambling when time permits shame on you ! mommy says you should not gamble ! she gambled on you , and did she get a bad kid ?",1
tiage_dial_010,10,16,[2],73,no she did not ! i am telling my mommy on you ! tell her to get you to bed ! but i want to play dollies with my best friend ! well i am not gonna play dollies with you ! well i do not wanna play with you either ! good ! i hope you win the baby lottery ! i am sorry ! do not be mad at me !,1
tiage_dial_011,1,7,"[0, 1]",112,"how are you ? i am tired of my parents bothering me , hoping to move out soon . i completely get it . my mom is way too traditional for me ! i never drink or use drugs . i am 19 and just want to see my friends . i understand . when do you think you might be able to move ? not sure . i have a part time job at burger king . do you work ? i do . i coach swimming at the pool near my house . awesome . my parents are just always on me about something . are you moving soon ?",1
tiage_dial_011,8,16,"[1, 2]",116,"i am still in school . i cannot move until i finish my degree that must be tough . what do you study ? i want to be a computer programmer . are you in school ? yes , i am studying education and working part time . that sounds interesting . do you like it ? yes , i love it . how are your courses ? they are great . i really like the challenge . what do you want to teach ? i hope to teach elementary school . how much longer until you graduate ? three more years . i feel like i wil never get out . how about you ?",1
tiage_dial_011,17,18,[2],35,"same for me ! looking forward to being done and out of my parents house ! things are so strict . my family is from india , so they just do not get it .",1
tiage_dial_012,1,8,[0],123,"hi . i am billy . i work as an electrician in texas i very rarely speak to people billy , because i am so famous really ? how ? i do a lot of work on my mom and dads farm . i am working on a robot so i can have company that does not annoy me . the only company i have is my pet cow . i helped design starcraft . do you have time to play games without the cow no usually . i live in the country . just drive my big truck and listen to country music . i do twitch streaming for fun , so we do not have much in common do we ?",0
tiage_dial_012,9,14,"[0, 1]",78,"not much . i like pizza too ! i like pizza , one thing in common . i live inland because i am allergic to water really ? i did not know that was possible ! how do you stay hydrated ? very carefully , did you get flooded in texas ? no . i live more north . near dallas . good ! i have not seen a person in 5 years , have my stuff delivered",1
tiage_dial_013,1,8,"[0, 1]",116,"hello . i love to read and my favorite books are the hunger games series . what about you ? hi ! i am an olympic gymnast , i do not read much . that is exciting and must allow you to travel alot . ever been to spain ? yes , i have . i picked up a lovely yellow blouse there . i hope to go back when i retire in a few years . how long before you retire ? i have another two years before i can retire from gymnastics . what are your plans after retirement ? i would like to go to culinary school , i am still young .",1
tiage_dial_013,9,14,[1],71,"i love to cook for my grandkids . i plan to travel more . i mainly cook italian , and garlic bread . i would love to travel to italy . i love baking cookies . i would love to be a pastry chef , i make earl grey shortbread a lot . i have never had earl grey shortbread only the tea . i put it in the shortbread .",1
tiage_dial_014,1,10,"[0, 1, 2]",123,"hello ! i was three when i learned to play guitar ! hi i enjoy disney world and go every year that is great . i really like rascal flats . i think they played there before . that is a good band . i love mickey mouse i actually grew up in the entertainment industry . i am also in the 3rd grade wow . do you like national parks ? my family and i spent summers there . no , i never have been . i like to go to the playground with friends i enjoyed that when was younger too . what is your family like ? i also like frozen the movie and sing a long with it .",1
tiage_dial_014,11,16,"[2, 3, 4]",64,"great ! i like music too and that is why i play guitar . that is awesome to hear ! do you have a dog or cat ? no , mom said i cannot have pets when i have my own place i can . do you have any brothers or sisters ? i have a sister who is 10 years older than me",1
tiage_dial_015,1,11,"[0, 1]",120,"hello , i am sitting here with my dog . how are you ? i am well friend . looking for new employment at the moment . what would be your dream job ? a writer . i am currently an er doctor . what was the worst accident you have seen in the er ? a man had his throat slit in a home invasion that is very scary . i would rather stick to my knitting passion . i have a daughter who people say is a child prodigy what talents does she have ? math ! i hate it ! lol . do you have children ? i have two children . they also enjoy math .",1
tiage_dial_015,12,16,[2],47,that is nice . what is your favorite movie ? my favorite movie is clueless . mine is friday ! although i do love clueless too ! do you think they will make another friday movie ? oh i hope so ! that would be awesome .,1
tiage_dial_016,1,10,[0],120,hey how are you today i am busy studying psychology for my graduate school class . you ? i have retired and now spend my time as a pro gambler sounds cool ! i could be your dog walker when you are busy . well being retired i have a lot of spare time either in a casino or outdoors i love the outdoors . i can survive in the wilderness for weeks yeah me to just got back from two weeks in the bush did your parents teach you to survive like mine did ? my dad did he has his own outdoor show its possible you have seen it i may have . what is it called ?,0
tiage_dial_016,11,16,[0],65,jim shockey he has survived in places all over the world i love that show ! i watch it between studying . yeah did not get to see him much as a child that must have been hard . my parents were always hiking with me . that is nice must have been fun it was fun . probably why i became a dog walker,1
tiage_dial_017,1,11,"[0, 1, 2]",122,"hello there , how are you today ? hello ! how has your day been ? great so far preparing my kindergarten lesson for tomorrow . i only eat kosher foods what is your favorite ? i eat out alot with friends and some love kosher also . i like kosher salt a lot no salt for me , at 24 i need to establish a healthy eating lifestyle . i like kosher salt more then regular salt i am slimming down to fit into a wedding dress in spring so salt is out . you must be a hot milf ha , ha , ha . . . to young for milf . what type of music do you like ?",1
tiage_dial_017,12,16,[2],44,"i like your music a lot so you are a big taylor swift fan as i am ? i love my girl taylor yes she is a1 with her stuff , i love her new album . . i know i love you too",1
tiage_dial_018,1,8,"[0, 1, 2]",116,"hi , kevin here . i love mexican food , aerosmith and nascar racing and a construction worker . i am a recording engineer myself . currently living in california great ! i wear a yellow construction worker hat to aerosmith concerts . that sounds fun . i would rather be inside though . wow ! what artists you work with ? i started working at sixteen as a construction model . no one you know probably . the market was dead last year unfortunately . oh okay . you like car racing ? i do . i also like mexican pizza . i love car racing . i am not crazy about lawyers though .",1
tiage_dial_018,9,16,[2],114,"me too ! i wear a yellow construction hat and my dad is a lawyer . bummer huh ? maybe he is the one that my ex left me for . oh wow . does your ex like aerosmith ? my dad and i do ? i do not think so . i own my own studio and she tried to take it . bummer ! does your ex like mexican food and fast cars ? she could be my stepmom . no she likes lies and cheating . lol funny . you think your ex would like construction workers ? i am 46 with kids , maybe she did not like that .",1
